集保專區-玉山證券-定期定額商品-台股
="股票名稱",="日期",="收盤價",="漲跌幅(%)",="殖利率(%)",="波動度(%)",="近一個月報酬(%)",="今年以來報酬(%)",
="(0050) 元大台灣50",="2023/10/05",123.65,1.44,4.04,25.97,-2.21,16.41,
="(0051) 元大中型100",="2023/10/05",70.05,1.16,3.43,16.63,-0.78,36.68,
="(0052) 富邦科技",="2023/10/05",115.35,1.23,8.83,30.77,-1.79,29.59,
="(0053) 元大電子",="2023/10/05",67.00,0.83,2.55,27.94,-1.69,30.35,
="(0055) 元大MSCI金融",="2023/10/05",23.15,0.96,3.76,12.59,-1.24,7.67,
="(0056) 元大高股息",="2023/10/05",35.69,0.85,5.88,14.84,0.73,44.53,
="(0057) 富邦摩台",="2023/10/05",91.10,1.33,1.86,26.31,-2.15,15.90,
="(0061) 元大寶滬深",="2023/10/05",17.54,0.63,="--",14.09,-3.52,-4.78,
="(006201) 元大富櫃50",="2023/10/05",18.91,1.39,3.28,23.21,1.89,24.74,
="(006203) 元大MSCI台灣",="2023/10/05",60.15,1.26,3.71,25.25,-1.96,17.19,
="(006204) 永豐臺灣加權",="2023/10/05",86.25,1.23,3.11,21.05,-2.04,21.14,
="(006205) 富邦上証",="2023/10/05",29.94,-0.03,="--",16.36,-2.98,-3.95,
="(006206) 元大上證50",="2023/10/05",28.76,0.24,="--",18.82,-2.51,-4.26,
="(006207) FH滬深",="2023/10/05",23.08,0.26,="--",14.43,-3.91,-5.10,
="(006208) 富邦台50",="2023/10/05",71.40,1.20,3.19,25.42,-2.33,17.05,
="(00635U) 期元大S&P黃金",="2023/10/05",22.58,0.36,="--",16.63,-6.07,-3.79,
="(00636) 國泰中國A50",="2023/10/05",20.40,0.10,="--",19.17,-4.09,-4.58,
="(00639) 富邦深100",="2023/10/05",11.11,0.27,="--",16.90,-5.85,-11.47,
="(00642U) 期元大S&P石油",="2023/10/05",18.33,-5.03,="--",25.54,-0.16,9.04,
="(00643) 群益深証中小",="2023/10/05",12.55,0,="--",13.67,-5.21,-14.04,
="(00645) 富邦日本",="2023/10/05",30.92,1.48,="--",13.05,-3.95,21.73,
="(00646) 元大S&P500",="2023/10/05",42.80,0.54,="--",11.61,-4.27,17.07,
="(00652) 富邦印度",="2023/10/05",33.04,0.52,="--",11.99,0.79,9.99,
="(00657) 國泰日經225",="2023/10/05",36.73,1.10,="--",16.27,-5.65,18.26,
="(00660) 元大歐洲50",="2023/10/05",30.09,1.18,1.20,13.86,-3.80,6.78,
="(00661) 元大日經225",="2023/10/05",39.63,0.92,="--",17.55,-5.62,19.01,
="(00662) 富邦NASDAQ",="2023/10/05",61.45,1.24,="--",21.69,-3.00,41.85,
="(00668) 國泰美國道瓊",="2023/10/05",38.75,0.03,="--",11.20,-3.85,4.56,
="(00678) 群益NBI生技",="2023/10/05",25.05,0.08,="--",11.58,-5.51,-3.73,
="(00679B) 元大美債20年",="2023/10/05",28.02,1.49,4.00,14.17,-7.92,-7.30,
="(00682U) 期元大美元指數",="2023/10/05",21.36,-0.65,="--",10.57,2.45,3.19,
="(00687B) 國泰20年美債",="2023/10/05",29.15,1.50,3.88,14.80,-7.28,-7.63,
="(00690) 兆豐藍籌30",="2023/10/05",27.20,0.93,8.82,21.19,-0.22,15.52,
="(00692) 富邦公司治理",="2023/10/05",30.97,1.24,6.55,22.76,-2.15,17.72,
="(00693U) 期街口S&P黃豆",="2023/10/05",26.75,-0.78,="--",18.02,-6.92,-1.73,
="(00694B) 富邦美債1-3",="2023/10/05",40.57,-0.29,1.36,6.66,1.25,6.73,
="(00695B) 富邦美債7-10",="2023/10/05",34.02,0.47,0.97,6.34,-2.24,0.47,
="(00696B) 富邦美債20年",="2023/10/05",29.57,1.44,3.31,14.78,-7.30,-7.58,
="(00697B) 元大美債7-10",="2023/10/05",34.66,0.49,2.91,6.35,-2.20,0.51,
="(00700) 富邦恒生國企(原簡稱",="2023/10/05",11.96,0,="--",26.50,-7.29,-8.91,
="(00701) 國泰股利精選30",="2023/10/05",25.41,0.83,7.48,11.41,-1.70,18.21,
="(00702) 國泰標普低波高息",="2023/10/05",20.00,-0.30,2.90,11.35,-5.48,-5.14,
="(00703) 台新MSCI中國",="2023/10/05",14.76,0.34,="--",25.29,-6.35,-7.52,
="(00709) 富邦歐洲",="2023/10/05",24.58,0.12,="--",11.70,-4.13,8.52,
="(00710B) FH彭博高收益債",="2023/10/05",18.41,0.16,5.43,4.49,-0.44,8.91,
="(00711B) FH彭博新興債",="2023/10/05",15.05,-0.40,4.85,12.94,-5.98,-2.28,
="(00712) FH富時不動產",="2023/10/05",9.10,-1.30,9.23,27.16,-10.45,-1.28,
="(00713) 元大台灣高息低波",="2023/10/05",47.10,0.51,6.16,12.27,-0.43,34.44,
="(00714) 群益道瓊美國地產",="2023/10/05",17.31,0.46,6.35,15.04,-8.61,-5.15,
="(00717) 富邦美國特別股",="2023/10/05",14.61,-0.41,4.18,11.63,-2.14,4.97,
="(00718B) 富邦中國政策債",="2023/10/05",20.05,-0.20,3.69,4.11,0.60,3.16,
="(00719B) 元大美債1-3",="2023/10/05",31.75,-0.38,2.52,6.65,1.21,6.48,
="(00720B) 元大投資級公司債",="2023/10/05",32.44,1.38,5.67,13.46,-4.76,-3.61,
="(00721B) 元大中國債3-5",="2023/10/05",45.11,-0.07,3.37,4.88,0.22,0.45,
="(00722B) 群益15年IG電信債",="2023/10/05",34.62,1.38,4.94,14.66,-4.86,-1.82,
="(00723B) 群益15年IG科技債",="2023/10/05",31.47,1.48,4.42,14.59,-5.50,-0.99,
="(00724B) 群益10年IG金融債",="2023/10/05",31.38,0.87,5.00,13.42,-5.43,0.05,
="(00725B) 國泰投資級公司債",="2023/10/05",34.85,1.22,4.79,11.80,-4.05,1.69,
="(00726B) 國泰5Y+新興債(現貨ET",="2023/10/05",32.79,-0.15,5.46,7.60,-3.16,2.80,
